序号,Index_Main Entry,Index_Location,Index_Sub-entry,Index_Detail
1,"Edwards, Pietro",,,
2,"Effetti, Antonio degli",,,
3,"Effetti, Antonio degli",,delight in idea of wealth,
4,"Emo, Procurator",,,
5,English patronage,,,
6,English patronage,,of Italian artists in 17th century,
7,English patronage,,of Venetian artists,
8,English patronage,,antipathy towards Venetian history painters after first two decades of 18th century,
9,English tourists in Italy,,in second half of 17th century,
10,Enlightenment in Italy,,,
11,Enlightenment in Italy,,contacts of Italian intellectuals with England and France,
12,Enlightenment in Italy,,opposition in Venice,
13,Epicurus,,,
14,"Erlach, Fischer von",,,
15,"Errard, Charles",,,
16,"Essex, Lord",,,
17,"Este, Azzo, Marchese d'",,,
18,"Este, Isabella d'",,,
19,"Estrées, Duc d'",,,
20,"Eugene, Prince",,"see under Savoy, Prince Eugene of",
21,"Exeter, 5th Lord",,,
